메뉴명,구분,가격(원),제철(월),1회제공량(g),HOT여부(Y/N),Kcal,탄수화물(g),단백질(g),지방(g),중복방지태그,알러지번호
쌀밥,rice,470,,200,N,306,65,6,2,쌀밥,
현미밥,rice,510,,200,N,280,65,6,2,현미밥,
흑미밥,rice,530,,200,N,275,65,6,2,흑미밥,
잡곡밥,rice,490,,200,N,281,65,6,2,잡곡밥,
보리밥,rice,470,,200,N,321,65,6,2,보리밥,
기장밥,rice,520,,200,N,279,65,6,2,기장밥,
차조밥,rice,480,,200,N,286,65,6,2,차조밥,
수수밥,rice,490,,200,N,280,65,6,2,수수밥,
콩밥,rice,520,,200,N,311,65,6,2,콩밥,
완두콩밥,rice,540,,200,N,319,65,6,2,완두콩밥,
팥밥,rice,510,,200,N,302,65,6,2,팥밥,
영양굴밥,rice,530,,200,N,296,65,6,2,영양굴밥,
콩나물밥,rice,490,,200,N,290,65,6,2,콩나물밥,
무밥,rice,530,,200,N,307,65,6,2,무밥,
버섯밥,rice,450,,200,N,273,65,6,2,버섯밥,
곤드레밥,rice,450,,200,N,299,65,6,2,곤드레밥,
취나물밥,rice,540,,200,N,317,65,6,2,취나물밥,
우엉밥,rice,540,,200,N,308,65,6,2,우엉밥,
연잎밥,rice,500,,200,N,327,65,6,2,연잎밥,
대나무통밥,rice,470,,200,N,294,65,6,2,대나무통밥,
김치볶음밥,rice,1610,,250,N,471,70,10,15,김치볶음밥,
새우볶음밥,rice,1490,,250,N,469,70,10,15,새우볶음밥,
계란볶음밥,rice,1630,,250,N,484,70,10,15,계란볶음밥,
햄야채볶음밥,rice,1480,,250,N,411,70,10,15,햄야채볶음밥,
마늘볶음밥,rice,1580,,250,N,472,70,10,15,마늘볶음밥,
카레볶음밥,rice,1570,,250,N,465,70,10,15,카레볶음밥,
소고기볶음밥,rice,1530,,250,N,480,70,10,15,소고기볶음밥,
베이컨볶음밥,rice,1460,,250,N,490,70,10,15,베이컨볶음밥,
참치볶음밥,rice,1370,,250,N,482,70,10,15,참치볶음밥,
날치알볶음밥,rice,1480,,250,N,421,70,10,15,날치알볶음밥,
게살볶음밥,rice,1520,,250,N,412,70,10,15,게살볶음밥,
파인애플볶음밥,rice,1440,,250,N,485,70,10,15,파인애플볶음밥,
나시고랭,rice,1450,,250,N,435,70,10,15,나시고랭,
마라볶음밥,rice,1520,,250,Y,473,70,10,15,마라볶음밥,
제육덮밥,rice,2090,,350,N,612,85,15,20,제육덮밥,
오징어덮밥,rice,2070,,350,N,556,85,15,20,오징어덮밥,
낙지덮밥,rice,2040,,350,N,642,85,15,20,낙지덮밥,
불고기덮밥,rice,2070,,350,N,613,85,15,20,불고기덮밥,
마파두부덮밥,rice,2120,,350,N,629,85,15,20,마파두부덮밥,
카레라이스,rice,2020,,350,N,565,85,15,20,카레라이스,
하이라이스,rice,1980,,350,N,544,85,15,20,하이라이스,
짜장밥,rice,1930,,350,N,579,85,15,20,짜장밥,
마파두부밥,rice,1910,,350,N,561,85,15,20,마파두부밥,
잡채밥,rice,1820,,350,N,565,85,15,20,잡채밥,
유산슬밥,rice,2040,,350,N,606,85,15,20,유산슬밥,
새우볶음밥,rice,2120,,350,N,565,85,15,20,새우볶음밥,
가츠동,rice,1990,,350,Y,649,85,15,20,가츠동,
규동,rice,2170,,350,N,653,85,15,20,규동,
오야꼬동,rice,1870,,350,N,593,85,15,20,오야꼬동,
텐동,rice,2180,,350,Y,626,85,15,20,텐동,
마요덮밥(참치),rice,2010,,350,N,550,85,15,20,마요덮밥(참치),
마요덮밥(스팸),rice,1890,,350,N,649,85,15,20,마요덮밥(스팸),
봄동비빔밥,rice,2080,,350,Y,631,85,15,20,봄동비빔밥,
산채비빔밥,rice,1810,,350,N,542,85,15,20,산채비빔밥,
육회비빔밥,rice,1860,,350,N,659,85,15,20,육회비빔밥,
돌솥비빔밥,rice,2000,,350,N,585,85,15,20,돌솥비빔밥,
새싹비빔밥,rice,2010,,350,N,649,85,15,20,새싹비빔밥,
쌀밥,rice,530,,200,N,299,65,6,2,쌀밥,
현미밥,rice,460,,200,N,279,65,6,2,현미밥,
흑미밥,rice,460,,200,N,308,65,6,2,흑미밥,
잡곡밥,rice,530,,200,N,310,65,6,2,잡곡밥,
보리밥,rice,530,,200,N,319,65,6,2,보리밥,
기장밥,rice,490,,200,N,277,65,6,2,기장밥,
차조밥,rice,520,,200,N,284,65,6,2,차조밥,
수수밥,rice,540,,200,N,310,65,6,2,수수밥,
콩밥,rice,530,,200,N,323,65,6,2,콩밥,
완두콩밥,rice,510,,200,N,279,65,6,2,완두콩밥,
팥밥,rice,460,,200,N,309,65,6,2,팥밥,
영양굴밥,rice,450,,200,N,290,65,6,2,영양굴밥,
콩나물밥,rice,520,,200,N,311,65,6,2,콩나물밥,
무밥,rice,540,,200,N,277,65,6,2,무밥,
버섯밥,rice,450,,200,N,291,65,6,2,버섯밥,
곤드레밥,rice,490,,200,N,320,65,6,2,곤드레밥,
취나물밥,rice,520,,200,N,309,65,6,2,취나물밥,
우엉밥,rice,490,,200,N,294,65,6,2,우엉밥,
연잎밥,rice,450,,200,N,328,65,6,2,연잎밥,
대나무통밥,rice,510,,200,N,292,65,6,2,대나무통밥,
김치볶음밥,rice,1500,,250,N,419,70,10,15,김치볶음밥,
새우볶음밥,rice,1600,,250,N,462,70,10,15,새우볶음밥,
계란볶음밥,rice,1520,,250,N,438,70,10,15,계란볶음밥,
햄야채볶음밥,rice,1390,,250,N,424,70,10,15,햄야채볶음밥,
마늘볶음밥,rice,1370,,250,N,454,70,10,15,마늘볶음밥,
카레볶음밥,rice,1370,,250,N,476,70,10,15,카레볶음밥,
소고기볶음밥,rice,1350,,250,N,418,70,10,15,소고기볶음밥,
베이컨볶음밥,rice,1510,,250,N,418,70,10,15,베이컨볶음밥,
참치볶음밥,rice,1420,,250,N,458,70,10,15,참치볶음밥,
날치알볶음밥,rice,1390,,250,N,473,70,10,15,날치알볶음밥,
게살볶음밥,rice,1590,,250,N,480,70,10,15,게살볶음밥,
파인애플볶음밥,rice,1430,,250,N,473,70,10,15,파인애플볶음밥,
나시고랭,rice,1500,,250,N,437,70,10,15,나시고랭,
마라볶음밥,rice,1460,,250,Y,469,70,10,15,마라볶음밥,
제육덮밥,rice,2110,,350,N,617,85,15,20,제육덮밥,
오징어덮밥,rice,1940,,350,N,586,85,15,20,오징어덮밥,
낙지덮밥,rice,1990,,350,N,618,85,15,20,낙지덮밥,
불고기덮밥,rice,2040,,350,N,563,85,15,20,불고기덮밥,
마파두부덮밥,rice,1870,,350,N,647,85,15,20,마파두부덮밥,
카레라이스,rice,2140,,350,N,630,85,15,20,카레라이스,
하이라이스,rice,1950,,350,N,589,85,15,20,하이라이스,
짜장밥,rice,2110,,350,N,653,85,15,20,짜장밥,
마파두부밥,rice,2000,,350,N,656,85,15,20,마파두부밥,
잡채밥,rice,2110,,350,N,579,85,15,20,잡채밥,
유산슬밥,rice,2190,,350,N,613,85,15,20,유산슬밥,
새우볶음밥,rice,1860,,350,N,609,85,15,20,새우볶음밥,
가츠동,rice,2000,,350,Y,552,85,15,20,가츠동,
규동,rice,2130,,350,N,548,85,15,20,규동,
오야꼬동,rice,1850,,350,N,574,85,15,20,오야꼬동,
텐동,rice,2050,,350,Y,595,85,15,20,텐동,
마요덮밥(참치),rice,2050,,350,N,556,85,15,20,마요덮밥(참치),
마요덮밥(스팸),rice,2100,,350,N,630,85,15,20,마요덮밥(스팸),
봄동비빔밥,rice,1810,,350,Y,571,85,15,20,봄동비빔밥,
산채비빔밥,rice,1940,,350,N,583,85,15,20,산채비빔밥,
육회비빔밥,rice,1980,,350,N,614,85,15,20,육회비빔밥,
돌솥비빔밥,rice,1860,,350,N,601,85,15,20,돌솥비빔밥,
새싹비빔밥,rice,2160,,350,N,657,85,15,20,새싹비빔밥,
쌀밥,rice,500,,200,N,288,65,6,2,쌀밥,
현미밥,rice,480,,200,N,328,65,6,2,현미밥,
흑미밥,rice,510,,200,N,327,65,6,2,흑미밥,
잡곡밥,rice,490,,200,N,292,65,6,2,잡곡밥,
보리밥,rice,450,,200,N,293,65,6,2,보리밥,
기장밥,rice,540,,200,N,327,65,6,2,기장밥,
